season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG+POST,00-0038498,E.Jenkins,E.J. Jenkins,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/utbs1f78kfxb51b6asit",2,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,7,1,0,0,9,3,1,0.799606117070653,0,0.777777777777778,0.0338983050847458,0.0199115044247788,0.0647855107244638,0,6.7,7.7
2024,REG+POST,00-0038507,G.DuBose,Grant DuBose,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ytrkyhuvudbeuc90zuok",2,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,4,11,0,0,0,47,3,1,-4.10426956950687,0,0.234042553191489,0.0526315789473684,0.0979166666666667,0.147489035087719,0,1.1,3.1
2024,REG+POST,00-0038519,N.Remigio,Nikko Remigio,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zyfiv72fmfh3unajdnu0",1,KC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,6,48,0,0,0,64,14,2,-0.401454297360033,0,0.75,0.352941176470588,0.533333333333333,0.902745098039216,0,4.8,6.8
2024,REG+POST,00-0038542,B.Robinson,Bijan Robinson,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rydwvaod6ethdjap41l6",17,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,304,1456,14,1,0,82,16.8835396067896,1,61,72,431,1,0,0,-21,531,20,7.64841874230321,0,-20.5238095238095,0.133580705009276,-0.00473186119873817,0.197058754674798,0,280.7,341.7
2024,REG+POST,00-0038543,J.Smith-Njigba,Jaxon Smith-Njigba,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lfroslgx4bo5p641flvg",17,SEA,1,1,35,0,0,0,0,0,0,35,0,1,2.24360939417966,0,1,,5,26,0,0,0,1,0.0267391607630998,0,100,137,1130,6,1,0,1186,477,55,49.3913404936788,0,0.952782462057336,0.240773286467487,0.293564356435644,0.566654979206181,0,153,253
2024,REG+POST,00-0038544,Q.Johnston,Quentin Johnston,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jbxlvsbokf9qdqtet1qr",16,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,6,0,0,0,0,-0.813873316859826,0,55,96,711,8,0,0,1072,306,31,25.3182324747474,0,0.663246268656716,0.210526315789474,0.264560710760118,0.500981971216293,0,119.7,174.7
2024,REG+POST,00-0038547,L.Schoonmaker,Luke Schoonmaker,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd4exg1hqzlm9sk6ruu6",10,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,27,36,241,1,0,0,199,97,11,9.40591506165219,0,1.21105527638191,0.0947368421052632,0.0715827338129496,0.192213176826959,0,30.1,57.1
2024,REG+POST,00-0038550,H.Hooker,Hendon Hooker,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ym5l2he8pycechphzse6",3,DET,6,9,62,0,0,1,9,0,0,58,30,3,-2.0768875653945,0,1.06896551724138,-0.0161207877164577,5,2,0,0,0,1,-2.99576760584023,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,2.68,2.68
2024,REG+POST,00-0038551,K.Miller,Kendre Miller,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wyj0lpna5gbhvyfiqnis",6,NO,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,39,148,1,0,0,11,-5.37066567892907,0,5,8,33,0,0,0,3,33,2,-0.583767805423122,0,11,0.0496894409937888,0.00222882615156018,0.0760943397967754,0,24.1,29.1
2024,REG+POST,00-0038555,T.Bigsby,Tank Bigsby,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vwl0kijb59dp20m3hs3u",15,JAX,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,168,766,7,3,1,39,-0.84089315052433,0,7,12,54,0,0,0,-13,64,1,-2.84954458358698,0,-4.15384615384615,0.041958041958042,-0.00598526703499079,0.0587473760125694,0,122,129
